0,Tu gères la fougère !
1,Ca c'est mon poulain !
2,Là… on peut dire que tu as gagné le droit de te la raconter.
3,"Respect, là je m'incline."
4,"Ce jour-là, une légende est née."
5,Tu viens officiellement de passer dans la cour des grands.
6,Note ce jour dans le calendrier. C’est important.
7,Tous ceux qui doutaient de toi viennent de se taire.
8,Mauvaise journée pour tes ennemis. Très bonne pour toi.
9,"À partir de maintenant, on va se souvenir de ton nom."
10,Félicitations. Tu viens de casser le jeu.
11,Achievement débloqué : légende vivante.
12,Achievement débloqué : PGM.
13,Tain genre tain tain et milou.
14,"Mais t'excite pas trop, tu veux une teinture ?"
15,Spoiler : t’as géré.
16,Le jeu vient de comprendre à qui il avait affaire.
17,GG ma gueule
18,"On va faire comme si c’était facile, mais on sait tous que non."
19,C’est à ce moment précis que les autres ont rage-quit.
20,"Tous les hommes voudraient être toi, toutes les femmes voudront être avec toi"
21,"Ce n’était pas prévu au scénario, mais tu l’as fait quand même."
22,Le jeu n’était clairement pas prêt pour toi.
23,Légende.
24,Maîtrise totale.
25,Propre. Très propre.
26,Sans bavure.
27,Classe.
28,"En totale maîtrise, je respecte."
29,"GG mais reloud, les bardes vont manquer de place dans leurs chansons."
30,Même les dieux ont levé un sourcil.
31,Mais t'as chaud !
32,Le destin vient de valider tes actions.
33,Fin de la quête. Début de la légende.
34,C’était… excessif. Mais efficace.
35,Légendaire. Comme toi.
36,"Tu ne savais pas que tu en étais incapable, et du coup tu l'as fait. Bravo."
37,Statistiquement improbable. Narrativement parfait.
38,Tu ne joues plus. Tu exécutes.
39,"Oui, c’était censé être difficile... attend je vais faire plus difficile, bouge pas."
40,Les devs avaient pas prévu ça !
41,Il va falloir up la difficulté je crois.
42,Domination !
43,Problème réglé. De rien.
44,"La quête disait ""difficile"", clairement elle mentait."
45,Mission accomplie. Village toujours debout. Plus ou moins.
46,On a presque pas eu de morts.
47,Tout ça pour ça ?
48,Le monde est sauvé. Encore.
49,"C'est bien joué, mais bon, t'as pris ton temps non ?"
50,Personne n’y croyait. Sauf toi.
51,Le plan a fonctionné ? Étonnant.
52,"Encore une mauvaise idée parfaitement exécutée, bravo."
53,Quête terminée. XP récupérée. Vie qui continue.
54,T'es un vrai (Hugo) Boss !
55,Tu peux retourner parler au PNJ Tommy maintenant.
56,Reconnaissance : variable. Récompense : correcte.
57,Tu as tout fait. L'histoire s'en souviendra.
58,Héros aujourd’hui. Légende demain.
59,"Du travail de qualité, respect ma gueule."
60,Bienvenue chez BodyBoGoss !
61,J'espère que tu as pas trop pris Cher (la chanteuse)
62,"ICI LES CEREALES KELLOGS CORN FLAKES, IL NE SE PASSE RIEN, MERCI DE RESTER CHEZ VOUS."
63,"Le DragonBorn m'a écrit, il veut des conseils de ta part."
64,Les rumeurs vont prendre cher.
65,"Il faudrait qu'un jour on parte à l'aventure ensemble, juste pour voir."
66,Je crois que cette histoire ne pourra jamais être racontée suffisamment bien pour respecter ta légende.
67,Félicitations. Ton ego vient de monter de trois niveaux.
68,Sung Jin Woo te suit désormais et prend des notes quand tu fais des trucs.
69,Succès débloqué : modestie optionnelle.
70,Respire. Profite. Redescends jamais.
71,Facile. (Non.)
72,Fais comme si c'était normal.
73,Je retire ce que je pensais de toi.
74,Comme quoi tout arrive !
75,"Eh, bravo… mais ne t’emballe pas, la prochaine sera sûrement pire."
76,Tu as presque l’air de savoir ce que tu fais. Presque.
77,"Voilà, c’est fait. Et oui, tu peux remercier ton talent et un peu de chance."
78,"GG. Mais sérieusement, qui t’a laissé faire ça sans supervision ?"
79,"Tommy a été prévenu par le serveur, il va croire que tu as cheaté."
80,"Bravo, tu viens officiellement de casser les statistiques du jeu."
81,Eh bien… tu as réussi. C’est presque inquiétant à quel point c’était facile pour toi.
82,D'après mes fiches c'était pas censé se passer comme ça... gg malgré tout.
83,"Félicitations, tu viens de faire quelque chose qui aura l’air génial… sur les captures d’écran."
84,Tu peux ranger ton épée… ou pas.
85,"Nia nia nia Minecraft c'est nul, JE NE CROIS PAS NON !"
86,Sinon c'est quand qu'on se met aux choses sérieuses ?
87,Toi : 1. Destin : 0.
88,"Bravo… et oui, ça mérite un screenshot."
89,Tu as survécu… ce qui est déjà un exploit.
